ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
1055,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,GET,http://0.0.0.0:5000/7109895031534779365,404,Not Found,8,140,2571
1057,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,GET,http://0.0.0.0:5000,302,Found,10,114,0
1058,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,POST,http://0.0.0.0:5000/login,200,OK,8,133,3244
1059,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,POST,http://0.0.0.0:5000/login,200,OK,9,133,3244
1060,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,GET,http://0.0.0.0:5000/login?err=c%3A%2FWindows%2Fsystem.ini,200,OK,3,133,3218
1061,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,POST,http://0.0.0.0:5000/login,200,OK,13,133,3244
1062,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,GET,http://0.0.0.0:5000/login?err=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2FWindows%2Fsystem.ini,200,OK,5,133,3263
1063,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,GET,http://0.0.0.0:5000/login?err=c%3A%5CWindows%5Csystem.ini,200,OK,7,133,3218
1064,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,GET,http://0.0.0.0:5000/login?err=..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5CWindows%5Csystem.ini,200,OK,9,133,3263
1065,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,POST,http://0.0.0.0:5000/login,200,OK,12,133,3244
1066,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,GET,http://0.0.0.0:5000/login?err=%2Fetc%2Fpasswd,200,OK,6,133,3208
1067,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,POST,http://0.0.0.0:5000/login,200,OK,6,133,3244
1068,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,GET,http://0.0.0.0:5000/login?err=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fpasswd,200,OK,8,133,3255
1069,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,GET,http://0.0.0.0:5000/login?err=%2F,200,OK,10,133,3198
1070,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,POST,http://0.0.0.0:5000/login,200,OK,9,133,3244
1071,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,GET,http://0.0.0.0:5000/login?err=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F,200,OK,19,133,3245
1072,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,POST,http://0.0.0.0:5000/login,200,OK,9,133,3244
1073,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,GET,http://0.0.0.0:5000/login?err=c%3A%2F,200,OK,8,133,3200
1074,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,GET,http://0.0.0.0:5000/login?err=c%3A%5C,200,OK,6,133,3200
1075,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,POST,http://0.0.0.0:5000/login,200,OK,21,133,3244
1076,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,GET,http://0.0.0.0:5000/login?err=WEB-INF%2Fweb.xml,200,OK,7,133,3212
1077,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,POST,http://0.0.0.0:5000/login,200,OK,3,133,3244
1078,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,GET,http://0.0.0.0:5000/login?err=WEB-INF%5Cweb.xml,200,OK,14,133,3212
1079,Fri Apr 17 17:38:11 EDT 2026,Fri Apr 17 17:38:11 EDT 2026,POST,http://0.0.0.0:5000/login,200,OK,8,133,3244
